XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
191004.77922435,3946557.65155397,23,18,17898,282.210585496846
191435.99229553,3946984.40061074,24,23,12,606.67905041149
191435.99229553,3946984.40061074,24,41,17900,73.7923771624774
191424.30461087,3946994.26080211,25,26,13,615.425384892769
191424.30461087,3946994.26080211,25,44,17901,70.6113161978907
190979.81990941,3946568.60630074,26,25,13,615.425384892769
190979.81990941,3946568.60630074,26,19,17899,269.700258016189
196577.18795753,3947818.07774502,28,22,14,1855.29815151948
196577.18795753,3947818.07774502,28,90,46,3108.39226204766
196577.18795753,3947818.07774502,28,102,51,8641.7670439698
220257.59685120,3948909.32586800,29,30,15,1509.39929681803
218957.90773027,3949027.77438954,30,29,15,1509.39929681803
218957.90773027,3949027.77438954,30,36,18,2429.14122279392
218957.90773027,3949027.77438954,30,85,44,1542.8043921738
213182.46925683,3949107.57512375,31,32,16,51.7549561441532
213182.46925683,3949107.57512375,31,37,19,4449.85695876254
213182.46925683,3949107.57512375,31,37,28,4677.19013463712
213133.96958232,3949125.64047892,32,31,16,51.7549561441532
194747.43055244,3949479.08985302,33,22,17,2718.65915399838
194747.43055244,3949479.08985302,33,58,17902,104.005897433283
217598.55431902,3949717.71510692,36,30,18,2429.14122279392
217598.55431902,3949717.71510692,36,37,20,192.698378079209
217407.16202778,3949740.11278018,37,31,19,4449.85695876254
217407.16202778,3949740.11278018,37,36,20,192.698378079209
217407.16202778,3949740.11278018,37,31,28,4677.19013463712
217407.16202778,3949740.11278018,37,153,77,2933.48832375173
191487.24784797,3947037.48717468,41,42,21,4430.44192679836
191487.24784797,3947037.48717468,41,24,17900,73.7923771624774
194961.07617457,3949758.18737424,42,41,21,4430.44192679836
194961.07617457,3949758.18737424,42,46,23,188.19391549859
194961.07617457,3949758.18737424,42,48,24,186.33576381068
194947.86595388,3949772.28370807,43,44,22,4435.67832640647
194947.86595388,3949772.28370807,43,51,26,182.080553863746
194947.86595388,3949772.28370807,43,61,31,287.809015725182
191474.17371378,3947044.25110667,44,43,22,4435.67832640647
191474.17371378,3947044.25110667,44,25,17901,70.6113161978907
195095.91442692,3949889.43926024,46,42,23,188.19391549859
195095.91442692,3949889.43926024,46,48,25,9.19769390902468
195095.91442692,3949889.43926024,46,60,30,458.99251210296
195095.91442692,3949889.43926024,46,78,40,511.227426876082
195088.19059603,3949894.43325759,48,42,24,186.33576381068
195088.19059603,3949894.43325759,48,46,25,9.19769390902468
195088.19059603,3949894.43325759,48,51,27,16.9369320754232
195088.19059603,3949894.43325759,48,78,39,369.037216198395
195073.96768316,3949903.62936642,51,43,26,182.080553863746
195073.96768316,3949903.62936642,51,48,27,16.9369320754232
195073.96768316,3949903.62936642,51,61,32,201.555973702878
195073.96768316,3949903.62936642,51,81,42,371.255157358341
194682.54271826,3949959.57359563,57,58,29,380.845742061971
194682.54271826,3949959.57359563,57,61,33,229.409042213142
194682.54271826,3949959.57359563,57,69,35,66.5958430858938
194734.51281764,3949582.29042874,58,57,29,380.845742061971
194734.51281764,3949582.29042874,58,33,17902,104.005897433283
195123.98359533,3949878.69939331,60,46,30,458.99251210296
195123.98359533,3949878.69939331,60,67,17903,81.9577579585829
194897.44581912,3949994.34848250,61,43,31,287.809015725182
194897.44581912,3949994.34848250,61,51,32,201.555973702878
194897.44581912,3949994.34848250,61,57,33,229.409042213142
195056.15949582,3949924.70988792,67,68,34,171.174546146146
195056.15949582,3949924.70988792,67,60,17903,81.9577579585829
