XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
338556.71615127,4289023.15073376,110,85,55,152.46345241067
338293.53763572,4289011.39772847,112,104,56,106.631915759587
338769.43656599,4289029.60639963,114,94,57,111.753386291196
338769.43656599,4289029.60639963,114,137,69,115.845338757455
338769.43656599,4289029.60639963,114,146,73,116.225046914714
337949.47671743,4289029.98924324,116,108,58,61.416624160807
337949.47671743,4289029.98924324,116,120,60,118.571600741696
337949.47671743,4289029.98924324,116,131,67,64.9066284725705
343208.32728624,4288955.81077327,118,84,59,404.454781967322
337831.49562408,4289041.80813123,120,116,60,118.571600741696
337831.49562408,4289041.80813123,120,122,61,36.0723772663764
337831.49562408,4289041.80813123,120,131,66,104.334653713061
337795.61307887,4289045.50398715,122,120,61,36.0723772663764
338122.18219106,4289058.35970997,124,99,62,81.6541415869998
338122.18219106,4289058.35970997,124,126,63,192.857359375776
338122.18219106,4289058.35970997,124,156,78,142.169368717997
338249.95467858,4288978.95405233,126,124,63,192.857359375776
339089.68167948,4289065.33432514,128,44,64,421.440495473091
339089.68167948,4289065.33432514,128,98,65,192.099447308541
339089.68167948,4289065.33432514,128,159,81,160.25905208247
339089.68167948,4289065.33432514,128,174,88,348.851703428634
337910.12317800,4289081.42940509,131,120,66,104.334653713061
337910.12317800,4289081.42940509,131,116,67,64.9066284725705
337910.12317800,4289081.42940509,131,151,77,84.6551905064698
338713.52779503,4289094.24556932,137,114,69,115.845338757455
338713.52779503,4289094.24556932,137,142,72,6.90630857597005
338713.52779503,4289094.24556932,137,146,74,144.950406745295
338030.59942112,4289098.22748768,140,108,70,118.43326310865
338030.59942112,4289098.22748768,140,150,75,43.432448636627
338030.59942112,4289098.22748768,140,172,86,236.356898919285
338711.10230750,4289100.71195227,142,90,71,170.529651445188
338711.10230750,4289100.71195227,142,137,72,6.90630857597005
338711.10230750,4289100.71195227,142,158,79,86.2431763725435
338847.38220632,4289115.66977121,146,114,73,116.225046914714
338847.38220632,4289115.66977121,146,137,74,144.950406745295
338847.38220632,4289115.66977121,146,164,82,178.523443615665
338047.66315351,4289138.07112278,150,140,75,43.432448636627
337867.24874537,4289154.22504348,151,152,76,101.686390474435
337867.24874537,4289154.22504348,151,131,77,84.6551905064698
337867.24874537,4289154.22504348,151,172,93,357.541865650051
337790.94390792,4289095.86023297,152,151,76,101.686390474435
338198.50252608,4289169.76380896,156,124,78,142.169368717997
