XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
459306.10195928,4960036.09710774,76,86,43,94.8320200972336
459577.75260347,4960045.75966676,77,76,39,271.822437509939
459577.75260347,4960045.75966676,77,79,40,75.3885434921533
459584.36279097,4960120.85785522,79,77,40,75.3885434921533
459584.36279097,4960120.85785522,79,86,44,262.474065627363
459584.36279097,4960120.85785522,79,89,45,14.7235694169005
460169.60570510,4960122.92825692,81,74,41,272.383921512469
460169.60570510,4960122.92825692,81,100,13972,15.1864550252505
459682.20118664,4960112.97872008,83,84,42,15.7342405292213
459683.79431409,4960128.63209895,84,83,42,15.7342405292213
459683.79431409,4960128.63209895,84,89,46,98.3787638300674
459683.79431409,4960128.63209895,84,96,48,80.9425763245125
459322.31797455,4960128.66395203,86,76,43,94.8320200972336
459322.31797455,4960128.66395203,86,79,44,262.474065627363
459322.31797455,4960128.66395203,86,111,57,304.344287452322
459585.65728113,4960135.52440872,89,79,45,14.7235694169005
459585.65728113,4960135.52440872,89,84,46,98.3787638300674
459585.65728113,4960135.52440872,89,107,54,114.926531828045
459881.79332542,4960196.01296921,93,94,47,145.258586692198
459881.79332542,4960196.01296921,93,96,49,196.160775176861
459881.79332542,4960196.01296921,93,99,53,306.795936258872
459893.61785755,4960051.23646059,94,93,47,145.258586692198
459689.90840114,4960209.34342778,96,84,48,80.9425763245125
459689.90840114,4960209.34342778,96,93,49,196.160775176861
459689.90840114,4960209.34342778,96,107,55,96.3325624621905
460182.73640544,4960209.80632788,99,100,50,72.6782962512036
460182.73640544,4960209.80632788,99,102,51,476.335098580486
460182.73640544,4960209.80632788,99,93,53,306.795936258872
460171.87396405,4960137.94436219,100,99,50,72.6782962512036
460171.87396405,4960137.94436219,100,81,13972,15.1864550252505
460658.80742361,4960224.02878172,102,99,51,476.335098580486
460658.80742361,4960224.02878172,102,74,52,683.933660967768
460658.80742361,4960224.02878172,102,128,64,11908.5590566012
460658.80742361,4960224.02878172,102,129,65,11908.4100872713
459602.23119153,4960249.22966543,107,89,54,114.926531828045
459602.23119153,4960249.22966543,107,96,55,96.3325624621905
459602.23119153,4960249.22966543,107,111,56,43.6572379242073
459560.07650262,4960260.15898932,111,107,56,43.6572379242073
459560.07650262,4960260.15898932,111,86,57,304.344287452322
459560.07650262,4960260.15898932,111,115,58,173.564289744436
459582.40804266,4960429.10529133,115,111,58,173.564289744436
389761.14225390,4963199.04624386,118,59,59,4731.6273245465
356948.94757140,4964668.10628814,119,120,60,1021.57114615255
357359.34883866,4963735.32719081,120,119,60,1021.57114615255
