XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
481988.77342967,4585684.87230051,53,57,29,19.8345673322556
481988.77342967,4585684.87230051,53,63,32,737.066803566036
483482.07121228,4584682.63650722,56,53,28,1803.00249635137
483482.07121228,4584682.63650722,56,43,17760,109.846150999374
482008.60178838,4585685.36853830,57,53,29,19.8345673322556
482008.60178838,4585685.36853830,57,59,30,1785.40095606746
482008.60178838,4585685.36853830,57,61,31,1719.68493556463
482008.60178838,4585685.36853830,57,66,33,750.543408428535
483487.18445736,4584692.97173266,59,57,30,1785.40095606746
483487.18445736,4584692.97173266,59,46,17761,107.420238984924
483699.96167373,4585897.82557469,61,57,31,1719.68493556463
483699.96167373,4585897.82557469,61,204,17762,35.1648840549057
481476.99195231,4586214.58158669,63,53,32,737.066803566036
481476.99195231,4586214.58158669,63,76,17763,98.4658903134689
481486.47385901,4586223.68304604,66,57,33,750.543408428535
481486.47385901,4586223.68304604,66,77,17764,99.2936935186607
477725.13082458,4586824.12360588,67,21,34,14275.327044574
477725.13082458,4586824.12360588,67,48,35,5120.37538357161
477725.13082458,4586824.12360588,67,71,37,3546.43310899352
477725.13082458,4586824.12360588,67,105,53,3449.4261464452
474211.25669037,4587216.92145626,71,33,36,5394.9529026506
474211.25669037,4587216.92145626,71,67,37,3546.43310899352
474211.25669037,4587216.92145626,71,103,52,1961.04571541238
480327.67019061,4587714.28215689,75,76,38,1791.06480315643
480327.67019061,4587714.28215689,75,79,40,835.621949667674
480327.67019061,4587714.28215689,75,81,42,830.639163098795
481414.16825651,4586290.40186630,76,75,38,1791.06480315643
481414.16825651,4586290.40186630,76,63,17763,98.4658903134689
481423.49381220,4586300.44730384,77,78,39,2095.82666685665
481423.49381220,4586300.44730384,77,66,17764,99.2936935186607
480134.52054540,4587952.22425760,78,77,39,2095.82666685665
480134.52054540,4587952.22425760,78,86,44,579.058633017333
480134.52054540,4587952.22425760,78,90,45,802.152204570406
479794.73364341,4588188.02651308,79,75,40,835.621949667674
479794.73364341,4588188.02651308,79,94,17766,100.812899945178
479731.62297623,4588289.10840119,81,82,41,834.582558852415
479731.62297623,4588289.10840119,81,75,42,830.639163098795
479731.62297623,4588289.10840119,81,95,48,802.125716747851
479801.68946559,4588187.10782498,82,81,41,834.582558852415
479801.68946559,4588187.10782498,82,85,17765,99.9502343917506
479820.79178954,4588285.19536740,85,86,43,153.341037881944
479820.79178954,4588285.19536740,85,82,17765,99.9502343917506
479866.16545150,4588431.66961325,86,85,43,153.341037881944
479866.16545150,4588431.66961325,86,78,44,579.058633017333
479866.16545150,4588431.66961325,86,99,51,311.594134741954
479508.77265986,4588450.80309422,90,78,45,802.152204570406
479508.77265986,4588450.80309422,90,91,46,429.722206560697
479508.77265986,4588450.80309422,90,98,49,527.299075126878
479866.98221354,4588467.00472617,91,90,46,429.722206560697
479866.98221354,4588467.00472617,91,94,47,187.712078750457
479866.98221354,4588467.00472617,91,99,50,276.05370780686
479813.99709538,4588286.94623128,94,91,47,187.712078750457
479813.99709538,4588286.94623128,94,79,17766,100.812899945178
479027.16136589,4588668.12757396,95,81,48,802.125716747851
479027.16136589,4588668.12757396,95,110,17767,86.3769634251724
479033.08532033,4588677.38049851,98,90,49,527.299075126878
479033.08532033,4588677.38049851,98,111,17768,85.8706230971725
479917.45356980,4588738.37278464,99,91,50,276.05370780686
479917.45356980,4588738.37278464,99,86,51,311.594134741954
479917.45356980,4588738.37278464,99,105,54,808.048697983727
474816.26893001,4589082.30626584,103,71,52,1961.04571541238
474816.26893001,4589082.30626584,103,114,58,4020.01223641928
474816.26893001,4589082.30626584,103,145,73,2148.77554701086
479822.36159522,4589538.84210438,105,67,53,3449.4261464452
479822.36159522,4589538.84210438,105,99,54,808.048697983727
479822.36159522,4589538.84210438,105,123,62,1527.95548691404
476548.35514412,4589785.85063943,109,110,55,2662.41296008183
476548.35514412,4589785.85063943,109,117,59,793.912315886044
476548.35514412,4589785.85063943,109,119,61,908.062078275422
478945.98231856,4588697.63930186,110,109,55,2662.41296008183
478945.98231856,4588697.63930186,110,95,17767,86.3769634251724
478952.43247958,4588706.85732312,111,112,56,2661.60012778547
478952.43247958,4588706.85732312,111,98,17768,85.8706230971725
476557.91554950,4589798.05399467,112,111,56,2661.60012778547
476557.91554950,4589798.05399467,112,128,65,840.626231656965
476557.91554950,4589798.05399467,112,132,66,982.296522218388
468822.91757975,4589422.78042719,113,114,57,2164.65394103838
470928.68672472,4589924.24128559,114,113,57,2164.65394103838
470928.68672472,4589924.24128559,114,103,58,4020.01223641928
470928.68672472,4589924.24128559,114,165,83,4897.95921569451
476108.29648435,4590246.78073786,117,109,59,793.912315886044
476108.29648435,4590246.78073786,117,136,17770,51.8292924668784
475951.37006693,4590469.67409979,119,120,60,883.054646944557
475951.37006693,4590469.67409979,119,109,61,908.062078275422
475951.37006693,4590469.67409979,119,137,69,474.842528763098
476115.74886709,4590242.70387782,120,119,60,883.054646944557
476115.74886709,4590242.70387782,120,127,17769,51.9862066724024
481026.75762804,4590479.09641366,123,105,62,1527.95548691404
481026.75762804,4590479.09641366,123,52,63,4967.4153226292
481026.75762804,4590479.09641366,123,161,81,5283.88818273125
481026.75762804,4590479.09641366,123,206,103,4288.69932540876
476140.62712241,4590288.35076267,127,128,64,260.373369939309
476140.62712241,4590288.35076267,127,120,17769,51.9862066724024
476250.52357909,4590523.72828371,128,127,64,260.373369939309
476250.52357909,4590523.72828371,128,112,65,840.626231656965
476250.52357909,4590523.72828371,128,141,72,539.84544497548
475909.77719351,4590535.55863953,132,112,66,982.296522218388
475909.77719351,4590535.55863953,132,133,67,447.293664229576
475909.77719351,4590535.55863953,132,140,70,401.038261665366
476244.48452079,4590558.84151831,133,132,67,447.293664229576
476244.48452079,4590558.84151831,133,136,68,291.558723934333
476244.48452079,4590558.84151831,133,141,71,493.567443676725
476133.09082388,4590292.29465095,136,133,68,291.558723934333
476133.09082388,4590292.29465095,136,117,17770,51.8292924668784
475626.42963416,4590815.71302011,137,119,69,474.842528763098
475626.42963416,4590815.71302011,137,170,17771,85.2078664037536
475633.39552507,4590826.10319886,140,132,70,401.038261665366
475633.39552507,4590826.10319886,140,173,17772,83.2527425184898
475957.13813081,4590915.64418303,141,133,71,493.567443676725
475957.13813081,4590915.64418303,141,128,72,539.84544497548
475957.13813081,4590915.64418303,141,145,74,273.574722967114
475705.03235768,4591021.87886759,145,103,73,2148.77554701086
475705.03235768,4591021.87886759,145,141,74,273.574722967114
475705.03235768,4591021.87886759,145,153,77,678.472771592733
485067.47402778,4591398.42743100,149,150,75,359.316523474577
485067.47402778,4591398.42743100,149,152,17773,31.2339452470052
485407.36147405,4591281.87320364,150,149,75,359.316523474577
484737.84011918,4591517.89585762,151,152,76,319.384032283405
485038.23963268,4591409.42331562,152,151,76,319.384032283405
485038.23963268,4591409.42331562,152,149,17773,31.2339452470052
476065.45193829,4591596.70321267,153,145,77,678.472771592733
476065.45193829,4591596.70321267,153,187,94,2990.77910576601
476065.45193829,4591596.70321267,153,244,122,6168.91965926188
496300.41424647,4593649.78037618,155,156,78,112.50003587993
496300.41424647,4593649.78037618,155,164,17774,178.321808100792
496406.67317586,4593612.83043713,156,155,78,112.50003587993
548186.11765432,4593714.23228575,157,159,80,100.534281024498
548204.53377695,4593812.75643456,159,157,80,100.534281024498
548204.53377695,4593812.75643456,159,195,98,1451.04907849789
548204.53377695,4593812.75643456,159,198,105,1565.5295341116
485086.19186245,4593850.74001764,161,123,81,5283.88818273125
485086.19186245,4593850.74001764,161,202,101,5247.91713884559
485086.19186245,4593850.74001764,161,206,104,3559.26339287644
485086.19186245,4593850.74001764,161,537,269,6711.44745641882
495405.35030928,4593978.72251308,163,164,82,776.549767794523
495405.35030928,4593978.72251308,163,225,113,1220.26963440958
495405.35030928,4593978.72251308,163,345,174,2261.50868880048
496131.98665471,4593708.35352345,164,163,82,776.549767794523
496131.98665471,4593708.35352345,164,155,17774,178.321808100792
471910.34912303,4594024.61551535,165,114,83,4897.95921569451
471910.34912303,4594024.61551535,165,167,84,259.574580620323
471910.34912303,4594024.61551535,165,176,88,403.77856663592
472163.70429924,4594081.06892145,167,165,84,259.574580620323
472163.70429924,4594081.06892145,167,170,85,4708.39119536114
472163.70429924,4594081.06892145,167,171,86,10.2475197938165
472163.70429924,4594081.06892145,167,176,89,391.447742669872
475564.81889599,4590874.57300177,170,167,85,4708.39119536114
475564.81889599,4590874.57300177,170,137,17771,85.2078664037536
472173.71942192,4594083.23893980,171,167,86,10.2475197938165
472173.71942192,4594083.23893980,171,173,87,4702.20864674395
472173.71942192,4594083.23893980,171,182,92,409.110547951666
472173.71942192,4594083.23893980,171,235,118,4256.94800274026
475573.55176905,4590883.98017185,173,171,87,4702.20864674395
475573.55176905,4590883.98017185,173,140,17772,83.2527425184898
471973.81527948,4594423.37506427,176,165,88,403.77856663592
471973.81527948,4594423.37506427,176,167,89,391.447742669872
471973.81527948,4594423.37506427,176,182,91,18.6685649269301
471973.81527948,4594423.37506427,176,185,93,47.3474901297283
477025.06081743,4594175.59494707,179,180,90,254.046544113891
477078.66630326,4594423.92154344,180,179,90,254.046544113891
477078.66630326,4594423.92154344,180,187,95,265.511480347225
477078.66630326,4594423.92154344,180,261,131,1246.89251256664
477078.66630326,4594423.92154344,180,278,139,916.67688080891
471976.74961567,4594441.81157662,182,176,91,18.6685649269301
471976.74961567,4594441.81157662,182,171,92,409.110547951666
471976.74961567,4594441.81157662,182,194,97,115.332918656169
471976.74961567,4594441.81157662,182,320,161,1132.24962274675
471950.84728782,4594464.77864118,185,176,93,47.3474901297283
471950.84728782,4594464.77864118,185,217,109,560.982141940129
471950.84728782,4594464.77864118,185,231,116,562.212406920074
476817.57589483,4594472.17239653,187,153,94,2990.77910576601
476817.57589483,4594472.17239653,187,180,95,265.511480347225
476817.57589483,4594472.17239653,187,191,96,42.6471324212315
476825.05536691,4594514.15852997,191,187,96,42.6471324212315
476825.05536691,4594514.15852997,191,235,119,774.851974055257
476825.05536691,4594514.15852997,191,293,147,889.932380041471
471921.22158601,4594542.89728307,194,182,97,115.332918656169
471921.22158601,4594542.89728307,194,234,117,481.129351613763
471921.22158601,4594542.89728307,194,242,121,556.418057922106
547771.88348616,4594596.50093292,195,159,98,1451.04907849789
547771.88348616,4594596.50093292,195,198,99,13.4121380541668
547771.88348616,4594596.50093292,195,227,120,737.961560078363
547785.12353578,4594598.64255219,198,195,99,13.4121380541668
547785.12353578,4594598.64255219,198,200,100,37.4829293131977
547785.12353578,4594598.64255219,198,159,105,1565.5295341116
547789.53437084,4594635.86505243,200,198,100,37.4829293131977
489961.88804080,4594683.80715359,202,161,101,5247.91713884559
489961.88804080,4594683.80715359,202,204,102,12921.316303411
489961.88804080,4594683.80715359,202,312,156,1006.01579127918
483733.36033606,4585908.83004765,204,202,102,12921.316303411
483733.36033606,4585908.83004765,204,61,17762,35.1648840549057
481633.94411307,4594716.81753629,206,123,103,4288.69932540876
481633.94411307,4594716.81753629,206,161,104,3559.26339287644
481633.94411307,4594716.81753629,206,213,107,456.797083147522
469595.11452780,4594532.58349377,211,212,106,1033.98100115908
469595.11452780,4594532.58349377,211,35549,17775,852.831298635832
470601.97311998,4594761.50075920,212,211,106,1033.98100115908
470601.97311998,4594761.50075920,212,224,112,512.454433546894
