Fraction_Removed,Robustness
0.0,1.0
0.025,0.1968058341180532
0.05,0.19160719589843891
0.075,0.18372908003740404
0.1,0.1800820284634546
0.125,0.1719156745914792
0.15,0.16347667424003798
0.175,0.15162923930934843
0.2,0.14338315567376045
0.225,0.12885690422588408
0.25,0.12194793314373999
0.275,0.11082280640175657
0.3,0.10967904821577207
0.325,0.13713931109502434
0.35,0.13900551736375258
0.375,0.16736913812871076
0.4,0.20399056943999946
0.425,0.23080608501963318
0.45,0.25336128574972816
0.475,0.29390281254631484
0.5,0.3243118252786774
0.525,0.3369810595063449
0.55,0.3653669049780106
0.575,0.3761679515294994
0.6,0.3970203911402214
0.625,0.4159020189834817
0.65,0.41561232986364227
0.675,0.4433127054502197
0.7,0.4822541280832395
0.725,0.5249124649859943
0.75,0.5241838284264755
0.775,0.5331844405594405
0.8,0.5614954004329006
0.825,0.598279761904762
0.85,0.6627857142857143
0.875,0.6892619047619049
0.9,0.6976249999999999
0.925,0.7020833333333334
0.95,0.7695833333333333
0.975,0.8212499999999999
1.0,0.0
