Fraction_Removed,Robustness
0.0,1.0
0.025,0.2223717575643484
0.05,0.2098598371087322
0.075,0.2005710103616842
0.1,0.1824966559327712
0.125,0.16903283639444558
0.15,0.15837034121550084
0.175,0.14070783067923326
0.2,0.13292705918147577
0.225,0.11344095684869421
0.25,0.11324781616759654
0.275,0.10145360346386471
0.3,0.10536564417912539
0.325,0.11663721963412253
0.35,0.12615345860728178
0.375,0.13548624926869204
0.4,0.16292674986673367
0.425,0.2011853035824109
0.45,0.23009547500268968
0.475,0.2510184974784627
0.5,0.299969776032658
0.525,0.30757130626986917
0.55,0.33328662919374746
0.575,0.34553888572199903
0.6,0.38548123686086205
0.625,0.4014347163877477
0.65,0.46874051901849223
0.675,0.4715403787245892
0.7,0.5090953699293483
0.725,0.5140204248366014
0.75,0.5283571012321012
0.775,0.5674940476190476
0.8,0.5713902000777
0.825,0.5865902777777778
0.85,0.694236111111111
0.875,0.7048125
0.9,0.7066726190476191
0.925,0.7286666666666667
0.95,0.7470833333333332
0.975,0.79625
1.0,0.0
