Fraction_Removed,Robustness
0.0,1.0
0.025,0.22140114669955097
0.05,0.20813978677933098
0.075,0.19527081542901745
0.1,0.1821378355845914
0.125,0.1655506808743831
0.15,0.1517209533855237
0.175,0.14067383458029295
0.2,0.12892693718500758
0.225,0.11810676877211317
0.25,0.11482285115509823
0.275,0.11180236101194138
0.3,0.1152522235297896
0.325,0.1282241236337278
0.35,0.155996351015507
0.375,0.17166552253322445
0.4,0.1982773538090443
0.425,0.23404839463470434
0.45,0.2636227270542835
0.475,0.2802728629187651
0.5,0.3047656831011626
0.525,0.328629163242897
0.55,0.33582215609487925
0.575,0.368993568028629
0.6,0.4149593636354737
0.625,0.442193494759774
0.65,0.48005819696299573
0.675,0.5225914003759399
0.7,0.520896722977315
0.725,0.5150579371608783
0.75,0.5398434514831574
0.775,0.5511021027583528
0.8,0.5937126831501831
0.825,0.6241666666666668
0.85,0.6332142857142857
0.875,0.6828392857142858
0.9,0.7113333333333334
0.925,0.6958749999999999
0.95,0.7354166666666666
0.975,0.8008333333333333
1.0,0.0
