Fraction_Removed,Robustness
0.0,1.0
0.025,0.21213490183486472
0.05,0.1969552381050094
0.075,0.19156614050777315
0.1,0.17697391491714132
0.125,0.17228294589228124
0.15,0.16421373431277556
0.175,0.15718231556771167
0.2,0.145139664257109
0.225,0.12501523353956662
0.25,0.1265612179976507
0.275,0.11765760664613993
0.3,0.13085651744313803
0.325,0.14039566156159514
0.35,0.16194735696944462
0.375,0.16719824556799406
0.4,0.2052973229466612
0.425,0.21088780952481415
0.45,0.25436658559754954
0.475,0.29215589700065214
0.5,0.3601345646181855
0.525,0.3660085740189673
0.55,0.3682793159793171
0.575,0.4080148537831808
0.6,0.3946482732585993
0.625,0.41986911778986713
0.65,0.4561721910389174
0.675,0.48739519580221985
0.7,0.5138333651642475
0.725,0.5199337696617108
0.75,0.5427436868686869
0.775,0.5444503968253969
0.8,0.5833847402597403
0.825,0.5999394841269842
0.85,0.621167297979798
0.875,0.6784930555555555
0.9,0.6336875
0.925,0.6988333333333333
0.95,0.698125
0.975,0.8108333333333333
1.0,0.0
