Fraction_Removed,Robustness
0.0,1.0
0.025,0.211699138798848
0.05,0.19694044907208078
0.075,0.18066560749225885
0.1,0.16571190334017077
0.125,0.14533721939943872
0.15,0.12667568008219177
0.175,0.11751055684938239
0.2,0.10749043694331967
0.225,0.10551467173200829
0.25,0.1047767336647332
0.275,0.12269665580865119
0.3,0.1323065378296309
0.325,0.16342016737238613
0.35,0.18159783770632967
0.375,0.20654111243342793
0.4,0.215422296714971
0.425,0.2318417587395746
0.45,0.2873579730541294
0.475,0.27860370259177464
0.5,0.3068124951876214
0.525,0.3180922322109278
0.55,0.36170068896301905
0.575,0.38400401292057695
0.6,0.41390196755060005
0.625,0.44704041577303116
0.65,0.46454809760489113
0.675,0.46796581952619104
0.7,0.4989835742649462
0.725,0.5203678141711231
0.75,0.5372279754559166
0.775,0.5584549168152109
0.8,0.5790949463118581
0.825,0.6144047619047619
0.85,0.5628994963369963
0.875,0.5968839285714285
0.9,0.6598333333333334
0.925,0.6861666666666666
0.95,0.7395833333333333
0.975,0.8049999999999999
1.0,0.0
