Fraction_Removed,Robustness
0.0,1.0
0.025,0.2386442820815236
0.05,0.22857460544447045
0.075,0.2083812481139275
0.1,0.20070362404561515
0.125,0.18396590934314358
0.15,0.16779922936312824
0.175,0.15000914599183307
0.2,0.14108010956939526
0.225,0.12376912844206432
0.25,0.11184981757277827
0.275,0.09888291107713426
0.3,0.09678820957353315
0.325,0.1104557539001181
0.35,0.12874414525779468
0.375,0.15674660661270873
0.4,0.17099173692521896
0.425,0.1884142140342943
0.45,0.22054402445504276
0.475,0.23873144261788348
0.5,0.2929209993877295
0.525,0.3014975698872757
0.55,0.3165841303127729
0.575,0.372896886056318
0.6,0.37243636360010507
0.625,0.37096853937289975
0.65,0.39035928455725777
0.675,0.42570439560439566
0.7,0.45282675902528846
0.725,0.47288225173519294
0.75,0.4906597999523697
0.775,0.5083612914862914
0.8,0.5667304292929293
0.825,0.5954818722943722
0.85,0.6124824134199134
0.875,0.6426517857142857
0.9,0.7283035714285715
0.925,0.725125
0.95,0.7649999999999999
0.975,0.7704166666666666
1.0,0.0
