Fraction_Removed,Robustness
0.0,1.0
0.025,0.17032160442943828
0.05,0.1535363289384381
0.075,0.138823113836717
0.1,0.12225829861653804
0.125,0.11610754782251986
0.15,0.10808456335250372
0.175,0.12381976299393059
0.2,0.1254038341710575
0.225,0.12831424025409918
0.25,0.1327495597768338
0.275,0.13830117861772973
0.3,0.14203388746538792
0.325,0.1562011109628793
0.35,0.1638153569169489
0.375,0.18401222843501241
0.4,0.2144089162823997
0.425,0.23678385877428637
0.45,0.2581647296938909
0.475,0.29208266088727514
0.5,0.31358533645980946
0.525,0.3287695212395525
0.55,0.3633904881404757
0.575,0.3757988187656633
0.6,0.4077148579689557
0.625,0.3983843370681606
0.65,0.42529160537741767
0.675,0.44227075382888753
0.7,0.4892980152587352
0.725,0.5277853519029989
0.75,0.555729700854701
0.775,0.5810668081918082
0.8,0.5665623473748473
0.825,0.6143878968253967
0.85,0.639143849206349
0.875,0.6759444444444445
0.9,0.7051666666666666
0.925,0.695327380952381
0.95,0.726125
0.975,0.7708333333333333
1.0,0.0
