Fraction_Removed,Normalized_Size
0.0,1.0000000000000002
0.006666666666666667,0.9933989827940697
0.013333333333333334,0.986689752191321
0.02,0.9800887349853914
0.02666666666666667,0.9733795043826428
0.03333333333333333,0.9666702737798943
0.04,0.9600692565739635
0.04666666666666667,0.953360025971215
0.05333333333333334,0.9467590087652854
0.06,0.9400497781625368
0.06666666666666667,0.9333405475597883
0.07333333333333333,0.9267395303538575
0.08,0.9200302997511091
0.08666666666666667,0.9134292825451794
0.09333333333333334,0.9067200519424307
0.1,0.9000108213396814
0.10666666666666667,0.8934098041337515
0.11333333333333333,0.8867005735310031
0.12,0.8800941456552325
0.12666666666666668,0.873374093712802
0.13333333333333333,0.8666648631100533
0.14,0.8600638459041227
0.14666666666666667,0.8533437939616924
0.15333333333333332,0.8467373660859218
0.16,0.8400173141434912
0.16666666666666666,0.8332972622010604
0.17333333333333334,0.8266800129856076
0.18,0.819965371713018
0.18666666666666668,0.8133589438372473
0.19333333333333333,0.8066334812249759
0.2,0.7999080186127042
0.20666666666666667,0.7932853587274102
0.21333333333333335,0.7865382534357752
0.22,0.7797695054647766
0.22666666666666666,0.773136024239801
0.23333333333333334,0.7663726869386429
0.24,0.7596796883454171
0.24666666666666667,0.7528838870252136
0.25333333333333335,0.7460826750351693
0.26,0.7394167297911481
0.26666666666666666,0.7326317498106266
0.2733333333333333,0.725846769830105
0.28,0.7190185044908559
0.2866666666666667,0.7121577751325614
0.29333333333333333,0.7054485445298128
0.3,0.6985174764635861
0.30666666666666664,0.6916026404068824
0.31333333333333335,0.6846228763120875
0.32,0.6776431122172925
0.32666666666666666,0.6707282761605887
0.3333333333333333,0.6636944053673843
0.34,0.6565414998376798
0.3466666666666667,0.6489124553619738
0.35333333333333333,0.6415864083973596
0.36,0.634422681527973
0.36666666666666664,0.6269721891570177
0.37333333333333335,0.6193647873606754
0.38,0.6120928470944703
0.38666666666666666,0.6043447678822637
0.3933333333333333,0.5963532085272157
0.4,0.586641056162753
0.4066666666666667,0.5779352883887026
0.41333333333333333,0.5680337625798075
0.42,0.5544583919489232
0.4266666666666667,0.5439833351368899
0.43333333333333335,0.5328589979439454
0.44,0.5187479709988096
0.44666666666666666,0.5034141326696245
0.4533333333333333,0.4881939184070988
0.46,0.45799155935504815
0.4666666666666667,0.42455903040796455
0.47333333333333333,0.38720376582620925
0.48,0.3437073909750027
0.4866666666666667,0.3133318904880424
0.49333333333333335,0.2715128232875229
0.5,0.22275186668109512
0.5066666666666667,0.18578617032788658
0.5133333333333333,0.14803051617790283
0.52,0.11669191645925764
0.5266666666666666,0.10214262525700683
0.5333333333333333,0.0789579049886376
0.54,0.058386538253435774
0.5466666666666666,0.049902607942863324
0.5533333333333333,0.03957363921653501
0.56,0.03334595822962883
0.5666666666666667,0.027956931068066227
0.5733333333333334,0.024705118493669517
0.58,0.022508386538253437
0.5866666666666667,0.020744508170111458
0.5933333333333334,0.017162644735418245
0.6,0.01425170436099989
0.6066666666666667,0.01331565847851964
0.6133333333333333,0.012558164700789957
0.62,0.011465209392922846
0.6266666666666667,0.00965263499621253
0.6333333333333333,0.00884644518991451
0.64,0.008575911697868196
0.6466666666666666,0.007850881939184071
0.6533333333333333,0.007282761605886809
0.66,0.006795801320203441
0.6666666666666666,0.0060491288821556116
0.6733333333333333,0.005637917974245212
0.68,0.005042744291743319
0.6866666666666666,0.004507087977491614
0.6933333333333334,0.0042852505140136355
0.7,0.0041445730981495505
0.7066666666666667,0.0038902716156260144
0.7133333333333334,0.003695487501352667
0.72,0.0033654366410561624
0.7266666666666667,0.0031868845363055946
0.7333333333333333,0.003019153771236879
0.74,0.0028189589871226058
0.7466666666666667,0.0023969267395303542
0.7533333333333333,0.00200735851098366
0.76,0.0018775024348014282
0.7666666666666667,0.0017692890379829023
0.7733333333333333,0.001590736933232334
0.78,0.0015149875554593655
0.7866666666666666,0.0014175954983226921
0.7933333333333333,0.001255275403094903
0.8,0.0011037766475489664
0.8066666666666666,0.001022616599935072
0.8133333333333334,0.0009522778920030301
0.82,0.0008927605237528405
0.8266666666666667,0.0008278324856617247
0.8333333333333334,0.0006817443999567145
0.84,0.0006114056920246727
0.8466666666666667,0.000530245644410778
0.8533333333333334,0.0004544962666378097
0.86,0.00022724813331890484
0.8666666666666667,0.0
0.8733333333333333,0.0
0.88,0.0
0.8866666666666667,0.0
0.8933333333333333,0.0
0.9,0.0
0.9066666666666666,0.0
0.9133333333333333,0.0
0.92,0.0
0.9266666666666666,0.0
0.9333333333333333,0.0
0.94,0.0
0.9466666666666667,0.0
0.9533333333333334,0.0
0.96,0.0
0.9666666666666667,0.0
0.9733333333333334,0.0
0.98,0.0
0.9866666666666667,0.0
0.9933333333333333,0.0
1.0,0.0
