eccentricity
1.138772759864421096e+05
1.138882840188628470e+05
1.139580502312555327e+05
1.139693967175470752e+05
1.143209999747072143e+05
1.145392025720650563e+05
1.146749278611521004e+05
1.146937930563481059e+05
1.147127288428713655e+05
1.148142456969999184e+05
1.149188780254516896e+05
1.149326336735393415e+05
1.150569773988770321e+05
1.150875701851975173e+05
1.155170820109764900e+05
1.158211212058728124e+05
1.160410743930053286e+05
1.161632301270868193e+05
1.162039114008094912e+05
1.172690731220830639e+05
1.172804397008443193e+05
1.173212084603525873e+05
1.173347132186045783e+05
1.173395375130713510e+05
1.178908094714690378e+05
1.189700905702231394e+05
1.194016472886142146e+05
1.194317651320329605e+05
1.195881698304543243e+05
1.196037216090673028e+05
1.196961185154212435e+05
1.197237086940423906e+05
1.197385411851985264e+05
1.197539730123092741e+05
1.198662294965533511e+05
1.201740861643250246e+05
1.201858440954323451e+05
1.201962133122849773e+05
1.202344532275108504e+05
1.202451185133110557e+05
1.202485424741024763e+05
1.202621863049182721e+05
1.202621863049182721e+05
1.202639695294236735e+05
1.202749311829431535e+05
1.202815868969819567e+05
1.203523405142344709e+05
1.203807414325081045e+05
1.204728253200005711e+05
1.205063616353502002e+05
1.205205266529073851e+05
1.205368716098334262e+05
1.205419286428123596e+05
1.205655946893720393e+05
1.205693878535765834e+05
1.205773929981364199e+05
1.205811650942040433e+05
1.205879882532892807e+05
1.205923670957081195e+05
1.206238364454428956e+05
1.206686890629475965e+05
1.207327212254871265e+05
1.207429937212963414e+05
1.207942978542618512e+05
1.208001784707145998e+05
1.208158228989051131e+05
1.208196733361477673e+05
1.208949629042543384e+05
1.209113787164896494e+05
1.209317147459016851e+05
1.209334617793933867e+05
1.209527490354515467e+05
1.209543581961836462e+05
1.209646805622319225e+05
1.210783528790960845e+05
1.210818787979534827e+05
1.211016613056478527e+05
1.212013554785238084e+05
1.212132453586093179e+05
1.212908334911678539e+05
1.213056588919261849e+05
1.213295026747552620e+05
1.213343026709936385e+05
1.213557310779073159e+05
1.213599648919103784e+05
1.213821798148781527e+05
1.213842285707753617e+05
1.214299406782426522e+05
1.214345779218126409e+05
1.214361128441805777e+05
1.214409579180194560e+05
1.214567062365143211e+05
1.214928319627687451e+05
1.214956547856841207e+05
1.214956708505805873e+05
1.214996138267417846e+05
1.215171399160894216e+05
1.215341611728395364e+05
1.216220237418258912e+05
1.216458017836759391e+05
1.216688877271269303e+05
1.216839641993284749e+05
1.216897748919792066e+05
1.217064685493894358e+05
1.217238086410027172e+05
1.217387442461570608e+05
1.217550711279737006e+05
1.217652618640383880e+05
1.217680659449310333e+05
1.218057649975799141e+05
1.218209653018289973e+05
1.218238618538445007e+05
