Fraction_Removed,Normalized_Size
0.0,0.9092245497978684
0.006666666666666667,0.8988092613009921
0.013333333333333334,0.8906468210216832
0.02,0.8809187798603457
0.02666666666666667,0.8727342888643881
0.03333333333333333,0.858382947445792
0.04,0.8499117971334069
0.04666666666666667,0.8365637633223081
0.05333333333333334,0.8282285924292541
0.06,0.8115067989709666
0.06666666666666667,0.7844174935685412
0.07333333333333333,0.7908820286659317
0.08,0.7770782800441014
0.08666666666666667,0.7108526277104006
0.09333333333333334,0.7418191841234838
0.1,0.7138993017273063
0.10666666666666667,0.6932671811833884
0.11333333333333333,0.636765894891584
0.12,0.6637375964718852
0.12666666666666668,0.6104814406468211
0.13333333333333333,0.574233737596472
0.14,0.5172620360161704
0.14666666666666667,0.47446159500183765
0.15333333333333332,0.4533517089305403
0.16,0.37182285924292546
0.16666666666666666,0.38141492098493196
0.17333333333333334,0.33651598676957006
0.18,0.32853730246233004
0.18666666666666668,0.2798346196251377
0.19333333333333333,0.2979823594266814
0.2,0.23217567070929804
0.20666666666666667,0.21193311282616684
0.21333333333333335,0.1785593531789783
0.22,0.16161337743476661
0.22666666666666666,0.1634803381109886
0.23333333333333334,0.1360051451672179
0.24,0.12166850422638735
0.24666666666666667,0.10995222344726205
0.25333333333333335,0.11437706725468581
0.26,0.09870268283719219
0.26666666666666666,0.09789048144064683
0.2733333333333333,0.09074237412715913
0.28,0.0683388460124954
0.2866666666666667,0.07515251745681734
0.29333333333333333,0.06352443954428519
0.3,0.060602719588386623
0.30666666666666664,0.05486953325983094
0.31333333333333335,0.04817346563763323
0.32,0.03766262403528115
0.32666666666666666,0.04031606027195883
0.3333333333333333,0.032620360161705254
0.34,0.02917677324513046
0.3466666666666667,0.029533259830944503
0.35333333333333333,0.02763689819919147
0.36,0.023314957736126428
0.36666666666666664,0.022109518559353177
0.37333333333333335,0.019272326350606394
0.38,0.017409040793825804
0.38666666666666666,0.017048879088570376
0.3933333333333333,0.014932010290334436
0.4,0.014343991179713338
0.4066666666666667,0.011922087467842707
0.41333333333333333,0.011822859242925395
0.42,0.01027930907754502
0.4266666666666667,0.011348768834987139
0.43333333333333335,0.008754134509371559
0.44,0.008816611539875046
0.44666666666666666,0.008599779492833517
0.4533333333333333,0.008375597206909224
0.46,0.007284086732818817
0.4666666666666667,0.006332230797500919
0.47333333333333333,0.005972069092245498
0.48,0.0059463432561558255
0.4866666666666667,0.005442851892686512
0.49333333333333335,0.005170893054024256
0.5,0.005016538037486218
0.5066666666666667,0.004571848585079015
0.5133333333333333,0.004127159132671812
0.52,0.004332965821389196
0.5266666666666666,0.00396545387725101
0.5333333333333333,0.0040352811466372665
0.54,0.0034105108416023523
0.5466666666666666,0.0032267548695332606
0.5533333333333333,0.002936420433664094
0.56,0.0026644615950018376
0.5666666666666667,0.0031532524807056234
0.5733333333333334,0.0024623300257258355
0.58,0.002473355384049982
0.5866666666666667,0.0023741271591326716
0.5933333333333334,0.0024733553840499815
0.6,0.002120543917677324
0.6066666666666667,0.002109518559353179
0.6133333333333333,0.0020654171260565965
0.62,0.001896361631753032
0.6266666666666667,0.0018926865123116497
0.6333333333333333,0.0019441381844909956
0.64,0.0016795295847115033
0.6466666666666666,0.0015031238515251747
0.6533333333333333,0.0015876515986769572
0.66,0.0015692760014700481
0.6666666666666666,0.0015472252848217564
0.6733333333333333,0.001595001837559721
0.68,0.001466372657111356
0.6866666666666666,0.0012973171628077912
0.6933333333333334,0.0013083425211319365
0.7,0.0011870635795663358
0.7066666666666667,0.0011503123851525174
0.7133333333333334,0.0010510841602352078
0.72,0.0010437339213524438
0.7266666666666667,0.0009445056964351342
0.7333333333333333,0.001018008085262771
0.74,0.0009555310547592797
0.7466666666666667,0.0010033076074972434
0.7533333333333333,0.000900404263138552
0.76,0.0008599779492833517
0.7666666666666667,0.0008967291436971705
0.7733333333333333,0.0008158765159867697
0.78,0.0007754502021315693
0.7866666666666666,0.0007019478133039323
0.7933333333333333,0.0007129731716280778
0.8,0.0006909224549797869
0.8066666666666666,0.0006798970966556412
0.8133333333333334,0.0006468210216832046
0.82,0.0005402425578831312
0.8266666666666667,0.0005806688717383314
0.8333333333333334,0.0005622932745314223
0.84,0.000521866960676222
0.8466666666666667,0.0005255420801176038
0.8533333333333334,0.0005145167217934584
0.86,0.0005181918412348401
0.8666666666666667,0.0004667401690554942
0.8733333333333333,0.000452039691289967
0.88,0.0004116133774347666
0.8866666666666667,0.00038956266078647554
0.8933333333333333,0.0004079382579933848
0.9,0.0003454612274898934
0.9066666666666666,0.00037853730246233
0.9133333333333333,0.0003197353914002205
0.92,0.00031973539140022037
0.9266666666666666,0.00028298419698640203
0.9333333333333333,0.0002572583608967291
0.94,0.00027930907754502015
0.9466666666666667,0.0002535832414553473
0.9533333333333334,0.00023888276368981995
0.96,0.00021683204704152888
0.9666666666666667,0.00020213156927600143
0.9733333333333334,0.00018375597206909223
0.98,0.0001617052554208011
0.9866666666666667,0.00015435501653803747
0.9933333333333333,0.00011025358324145535
1.0,0.0
