Fraction_Removed,Normalized_Size
0.0,1.0
0.25,0.9780178837555886
0.5,0.9643815201192251
0.75,0.951043219076006
1.0,0.9285394932935916
1.25,0.9193740685543964
1.5,0.9094634873323398
1.75,0.9014903129657228
2.0,0.7307749627421759
2.25,0.7233233979135618
2.5,0.716467958271237
2.75,0.7105812220566319
3.0,0.7006706408345753
3.25,0.6446348733233979
3.5,0.6347242921013413
3.75,0.6242921013412817
4.0,0.6181073025335321
4.25,0.6029806259314456
4.5,0.5914307004470939
4.75,0.5815946348733234
5.0,0.5690760059612519
5.25,0.56274217585693
5.5,0.5581967213114755
5.75,0.5497019374068555
6.0,0.5441132637853949
6.25,0.5098360655737705
6.5,0.40581222056631894
6.75,0.40178837555886737
7.0,0.39672131147540984
7.25,0.20126676602086438
7.5,0.196274217585693
7.75,0.19336810730253354
8.0,0.1905365126676602
8.25,0.18114754098360655
8.5,0.17578241430700448
8.75,0.17280178837555887
9.0,0.17034277198211625
9.25,0.12809239940387482
9.5,0.12608047690014904
9.75,0.12473919523099851
10.0,0.11870342771982116
